ra,hd,hr,gl,bf,dec,proper,dist,mag,ci,spect,con
312.370635,198048.0,7952.0,,Zet Ind,-46.226826,,126.5823,4.9,#FECA99,K5III,Indus
312.49199999999996,198232.0,7965.0,,Alp Mic,-33.779722,,116.0093,4.89,#FFE1C5,G8III,Microscopium
312.520425,198639.0,7984.0,,56    Cyg,44.059304,,40.9668,5.06,#E1E9FF,A4me...,Cygnus
312.67407,198431.0,7976.0,,,-12.544906,,80.9717,5.87,#FFDDBE,K1III,Aquarius
312.75316499999997,198357.0,7971.0,,,-37.913332000000004,,180.1802,5.52,#FECFA3,K3III,Microscopium
312.85728,198571.0,7982.0,,4    Aqr,-5.626633,,60.7165,5.99,#F9F3F8,F5IV-V,Aquarius
312.86766,198726.0,7988.0,,,28.250505,,369.0037,5.66,#FEF1EB,F5Ib,Vulpecula
312.875205,198308.0,7968.0,,Iot Ind,-51.608179,,143.0615,5.06,#FFDBB9,K1II/III,Indus
312.910215,198160.0,7959.0,,,-62.429334999999995,,76.3359,5.67,#E2E9FF,A2,Pavo
312.95538,198542.0,7980.0,,18Ome Cap,-26.919133000000002,,258.3979,4.12,#FDC58E,K4III,Capricornus
313.032015,198809.0,7995.0,NN 4168,31    Vul,27.096978999999997,,57.8035,4.56,#FFE9D6,G8III,Vulpecula
313.03623000000005,198667.0,7985.0,,5    Aqr,-5.507059,,199.2032,5.55,#C2D5FE,B9III,Aquarius
313.163475,198743.0,7990.0,,6Mu  Aqr,-8.983317999999999,,48.216,4.73,#EFF0FF,A3m,Aquarius
313.311465,199081.0,8001.0,,57    Cyg,44.38726,,161.0306,4.8,#BED2FF,B5V,Cygnus
313.32735,199098.0,8003.0,,,45.181672999999996,,308.642,5.48,#FFDDBD,K0II,Cygnus
313.41741,198716.0,7987.0,,,-39.809865,,122.6994,5.34,#FED2A8,K2III,Microscopium
313.47456,199101.0,8005.0,,,33.437891,,184.1621,5.47,#FEC997,K5III,Cygnus
313.64016000000004,199169.0,8008.0,,32    Vul,28.057621,,178.5714,5.03,#FECB9A,K4III,Vulpecula
313.68456000000003,200039.0,8043.0,,,75.92557,,124.3781,5.99,#FFE4CB,G5III,Cepheus
313.699245,199012.0,8000.0,,19    Cap,-17.922894,,111.8568,5.78,#FFDBBA,K0III,Capricornus
313.70247,198700.0,7986.0,,Bet Ind,-58.45415500000001,,187.6173,3.67,#FFD5AE,K0III,Indus
313.90287,199253.0,8011.0,,17    Del,13.721535999999999,,147.0588,5.19,#FFDBBA,K0III,Delphinus
313.910715,199254.0,8012.0,,16    Del,12.568558,,60.4961,5.54,#D9E4FF,A4V,Delphinus
313.957515,199478.0,8020.0,,,47.417656,,100000.0,5.68,#F6F2FC,B8Ia,Cygnus
314.106105,199611.0,8025.0,,,50.728598,,51.2821,5.83,#F0F1FF,F0III,Cygnus
314.10789000000005,199612.0,8026.0,,,49.195847,,234.7418,5.92,#FFDEC0,G8II-III,Cygnus
314.14491,199579.0,8023.0,,,44.924721999999996,,100000.0,5.96,#CCDBFE,O6...,Cygnus
314.197185,199260.0,8013.0,Gl 811,,-26.296378000000004,,21.9684,5.7,#FBF3F5,F7V,Capricornus
314.22511499999996,199345.0,8015.0,,7    Aqr,-9.697545,,167.5042,5.49,#FECB9B,K5III,Aquarius
314.293395,199629.0,8028.0,,58Nu  Cyg,41.167136,,114.8106,3.94,#CCDBFE,A1Vn,Cygnus
314.41934999999995,199443.0,8018.0,,,-16.031539000000002,,54.8546,5.89,#DFE7FF,A2/A3III,Capricornus
314.568135,199697.0,8032.0,,33    Vul,22.325908,,138.6963,5.3,#FECD9F,K4III,Vulpecula
314.58100500000006,199870.0,8035.0,,,44.471711,,79.3021,5.55,#FFE2C8,G8III,Cygnus
314.608065,199665.0,8030.0,,18    Del,10.839286,,75.3012,5.51,#FFE4CC,G6III:,Delphinus
314.625135,199955.0,8040.0,,,50.461791,,331.1258,5.59,#BDD2FF,B5Vn,Cygnus
314.674335,199603.0,8024.0,,,-14.483128,,87.184,5.95,#E7ECFF,A9V,Aquarius
314.76865499999997,199766.0,8034.0,,1Eps Equ,4.293481,,54.0833,5.3,#F9F3F8,F5III...,Equuleus
314.771295,,,,,4.29461,,56.5611,5.24,#F9F3F8,G0V,Equuleus
314.85565499999996,200205.0,8049.0,,,59.438593999999995,,188.6792,5.54,#FECEA0,K4III,Cepheus
314.95647,200120.0,8047.0,,59    Cyg,47.520951000000004,,434.7826,4.74,#C2D5FE,B1ne,Cygnus
315.01659,199942.0,8038.0,,,7.516197,,75.815,5.98,#EBEEFF,A7V,Equuleus
315.08964000000003,199623.0,8027.0,,,-51.265312,,28.0112,5.76,#FAF3F7,F5IV-V,Indus
315.115365,200044.0,8044.0,,,19.329581,,160.5136,5.69,#FDC692,M3III,Delphinus
315.29553,200310.0,8053.0,,60    Cyg,46.155772999999996,,467.2897,5.38,#B7CEFF,B1V,Cygnus
315.32275500000003,199951.0,8039.0,,Gam Mic,-32.257767,,70.2247,4.67,#FFE6D0,G8III,Microscopium
