NOMBRE;ESTADO;MASA;DESCUBRIMIENTO;ACTUALIZACION;ESTADO_PUBLICACION;TIPO_DETECCION;RA;DEC;DISTANCIA_ESTRELLA;MASA_ESTRELLA
Kepler-88 c;Confirmed;0.626869808;2013;9/14/2015;Published in a refereed paper;Radial Velocity;291.15;40.6694;385;1.022
Kepler-880 b;Confirmed;0.577380657;2016;5/12/2016;Announced on a website;Primary Transit;281.971245;43.672771;673;1.46
Kepler-881 b;Confirmed;0.527891507;2016;5/12/2016;Announced on a website;Primary Transit;288.992588;46.670753;1364;1.06
Kepler-882 b;Confirmed;0.478402356;2016;5/12/2016;Announced on a website;Primary Transit;294.649885;43.335587;525;0.9
Kepler-883 b;Confirmed;0.428913205;2016;5/12/2016;Announced on a website;Primary Transit;286.433673;50.300327;549;1.06
Kepler-884 b;Confirmed;0.379424055;2016;5/12/2016;Announced on a website;Primary Transit;292.584443;49.923161;420;1
Kepler-885 b;Confirmed;0.329934904;2016;5/12/2016;Announced on a website;Primary Transit;288.661559;49.737206;632;1.21
Kepler-886 b;Confirmed;0.280445753;2016;5/12/2016;Announced on a website;Primary Transit;286.271745;43.595234;857;1.1
Kepler-887 b;Confirmed;0.230956603;2016;5/12/2016;Announced on a website;Primary Transit;290.090807;39.816989;831;1.19
Kepler-887 c;Confirmed;0.181467452;2016;5/12/2016;Announced on a website;Primary Transit;290.090807;39.816989;831;1.19
Kepler-888 b;Confirmed;0.131978301;2016;5/12/2016;Announced on a website;Primary Transit;295.521206;49.738632;413;0.97
Kepler-889 b;Confirmed;0.082489151;2016;5/12/2016;Announced on a website;Primary Transit;291.467319;50.759489;513;1.14
Kepler-89 b;Confirmed;0.033;2012;11/05/2013;Published in a refereed paper;Primary Transit;297.3333;41.8911;687.8;1.25
Kepler-89 c;Confirmed;0.049;2012;5/26/2014;Published in a refereed paper;Primary Transit;297.3333;41.8911;862.6;1.25
Kepler-89 d;Confirmed;0.164;2012;8/31/2015;Published in a refereed paper;Primary Transit;297.3333;41.8911;1037.4;1.25
Kepler-89 e;Confirmed;0.041;2012;5/27/2014;Published in a refereed paper;Primary Transit;297.3333;41.8911;1212.2;1.25
Kepler-890 b;Confirmed;0.050172705;2016;5/12/2016;Announced on a website;Primary Transit;288.435745;43.763496;1387;1.09
Kepler-891 b;Confirmed;0.059345411;2016;5/12/2016;Announced on a website;Primary Transit;291.083797;40.355255;1372;1.06
Kepler-892 b;Confirmed;0.068518116;2016;5/12/2016;Announced on a website;Primary Transit;283.129641;43.888241;640;0.75
Kepler-893 b;Confirmed;0.077690821;2016;5/12/2016;Announced on a website;Primary Transit;284.963031;43.913006;1216;1
Kepler-894 b;Confirmed;0.086863526;2016;5/12/2016;Announced on a website;Primary Transit;288.734088;46.939396;1090;0.87
Kepler-895 b;Confirmed;0.096036232;2016;5/12/2016;Announced on a website;Primary Transit;289.290653;51.408891;516;0.65
Kepler-896 b;Confirmed;0.105208937;2016;5/12/2016;Announced on a website;Primary Transit;282.439182;43.734486;896;0.84
Kepler-897 b;Confirmed;0.114381642;2016;5/12/2016;Announced on a website;Primary Transit;290.586837;51.69582;1147;1.03
Kepler-898 b;Confirmed;0.123554347;2016;5/12/2016;Announced on a website;Primary Transit;286.585389;46.87093;479;0.65
Kepler-899 b;Confirmed;0.132727053;2016;5/12/2016;Announced on a website;Primary Transit;297.48258;40.68078;1038;0.93
Kepler-9 b;Confirmed;0.141899758;2010;12/19/2017;Published in a refereed paper;Primary Transit;285.575;38.4008333;993.5833333;1
Kepler-9 c;Confirmed;0.097536419;2010;8/16/2014;Published in a refereed paper;Primary Transit;285.575;38.4008333;949.1666667;1
Kepler-9 d;Confirmed;0.016518264;2010;4/19/2014;Published in a refereed paper;Primary Transit;285.575;38.4008333;904.75;1
Kepler-90 b;Confirmed;0.052192351;2013;2/24/2016;Published in a refereed paper;Primary Transit;284.433502;49.305161;860.3333333;1.13
Kepler-90 c;Confirmed;0.087866438;2013;2/24/2016;Published in a refereed paper;Primary Transit;284.433502;49.305161;815.9166667;1.13
Kepler-90 d;Confirmed;0.123540524;2013;2/24/2016;Published in a refereed paper;Primary Transit;284.433502;49.305161;771.5;1.13
Kepler-90 e;Confirmed;0.159214611;2013;2/24/2016;Published in a refereed paper;Primary Transit;284.433502;49.305161;727.0833333;1.13
Kepler-90 f;Confirmed;0.194888698;2013;2/24/2016;Published in a refereed paper;Primary Transit;284.433502;49.305161;682.6666667;1.13
Kepler-90 g;Confirmed;0.230562785;2013;2/24/2016;Published in a refereed paper;Primary Transit;284.433502;49.305161;638.25;1.13
Kepler-90 h;Confirmed;0.266236872;2013;2/24/2016;Published in a refereed paper;Primary Transit;284.433502;49.305161;593.8333333;1.13
Kepler-90 i;Confirmed;0.301910958;2017;12/15/2017;Published in a refereed paper;Primary Transit;284.433502;49.305161;549.4166667;1.13
Kepler-900 b;Confirmed;0.337585045;2016;5/12/2016;Announced on a website;Primary Transit;296.177297;46.99902;505;0.78
Kepler-901 b;Confirmed;0.373259132;2016;5/12/2016;Announced on a website;Primary Transit;291.152951;40.887497;241;0.59
Kepler-902 b;Confirmed;0.408933219;2016;5/12/2016;Announced on a website;Primary Transit;289.731692;46.953823;904;0.95
Kepler-903 b;Confirmed;0.444607306;2016;5/12/2016;Announced on a website;Primary Transit;288.771018;40.664176;829;0.98
Kepler-903 c;Confirmed;0.480281392;2016;5/12/2016;Announced on a website;Primary Transit;288.771018;40.664176;829;0.98
Kepler-904 b;Confirmed;0.515955479;2016;5/12/2016;Announced on a website;Primary Transit;288.822916;40.389049;1151;1.16
Kepler-905 b;Confirmed;0.551629566;2016;5/12/2016;Announced on a website;Primary Transit;290.051123;46.713375;521;0.95
Kepler-906 b;Confirmed;0.587303653;2016;5/12/2016;Announced on a website;Primary Transit;291.405561;40.125487;758;1.06
Kepler-907 b;Confirmed;0.62297774;2016;5/12/2016;Announced on a website;Primary Transit;285.476589;41.63274;352;1.08
Kepler-908 b;Confirmed;0.658651826;2016;5/12/2016;Announced on a website;Primary Transit;295.322517;39.376484;250;1.11
Kepler-909 b;Confirmed;0.694325913;2016;5/12/2016;Announced on a website;Primary Transit;289.506358;45.370998;318;1.17
Kepler-91 b;Confirmed;0.73;2013;8/15/2014;Published in a refereed paper;Primary Transit;285.6708333;44.11666667;1030;1.31
Kepler-910 b;Confirmed;0.680818182;2016;5/12/2016;Announced on a website;Primary Transit;296.047358;42.743006;402;1.26
Kepler-911 b;Confirmed;0.631636364;2016;5/12/2016;Announced on a website;Primary Transit;298.589186;40.750689;567;1.34
Kepler-912 b;Confirmed;0.582454545;2016;5/12/2016;Announced on a website;Primary Transit;298.111206;41.758333;1265;1.07
Kepler-913 b;Confirmed;0.533272727;2016;5/12/2016;Announced on a website;Primary Transit;297.583122;41.952431;597;0.63
Kepler-914 b;Confirmed;0.484090909;2016;5/12/2016;Announced on a website;Primary Transit;290.412001;44.89933;678;1.1
Kepler-915 b;Confirmed;0.434909091;2016;5/12/2016;Announced on a website;Primary Transit;290.592077;45.737137;806;1.21
Kepler-916 b;Confirmed;0.385727273;2016;5/12/2016;Announced on a website;Primary Transit;290.983322;45.973301;769;0.85
